               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.055109,           0.0079107,           0.0020432,             0.93287,             0.86771,             0.91825,             0.48285,            0.047551,           0.0058022,           0.0018545,           0.0097055,           0.0097055,           0.0097055
                 121,            0.051769,           0.0082463,             0.00172,             0.86425,             0.86771,             0.91035,             0.46867,            0.047681,           0.0057602,            0.001585,            0.009703,            0.009703,            0.009703
                 122,            0.051887,           0.0076786,           0.0018054,             0.87364,             0.85104,             0.90756,             0.47824,            0.047506,           0.0055618,            0.001589,           0.0097005,           0.0097005,           0.0097005
                 123,            0.054361,           0.0085165,           0.0019967,              0.9076,             0.88777,             0.93701,             0.51198,            0.043758,           0.0055065,           0.0016457,            0.009698,            0.009698,            0.009698
                 124,            0.052537,           0.0076036,           0.0020556,             0.97797,             0.91171,             0.95253,              0.5273,            0.042296,           0.0054588,           0.0017139,           0.0096956,           0.0096956,           0.0096956
                 125,            0.051483,           0.0083113,           0.0021352,             0.88573,             0.88333,             0.91926,              0.5348,            0.042746,           0.0054865,           0.0017937,           0.0096931,           0.0096931,           0.0096931
                 126,            0.053335,            0.007833,           0.0021364,             0.81997,             0.83437,             0.82685,             0.47314,            0.047321,           0.0056553,           0.0019476,           0.0096906,           0.0096906,           0.0096906
                 127,            0.053155,            0.007367,           0.0018209,             0.87596,              0.8883,             0.87748,             0.49853,            0.045357,           0.0055542,           0.0021137,           0.0096881,           0.0096881,           0.0096881
                 128,            0.051196,           0.0077374,           0.0018369,             0.83883,                 0.9,              0.9292,             0.49323,            0.046392,           0.0054674,           0.0019127,           0.0096857,           0.0096857,           0.0096857
                 129,            0.049551,           0.0076614,           0.0023429,             0.88841,             0.94347,             0.96742,             0.50272,            0.043551,           0.0055304,           0.0019424,           0.0096832,           0.0096832,           0.0096832
                 130,             0.05191,           0.0077344,           0.0021023,             0.92859,             0.90567,             0.93484,             0.47508,            0.045678,           0.0054226,           0.0018532,           0.0096807,           0.0096807,           0.0096807
                 131,            0.054327,           0.0076491,           0.0020522,             0.88534,              0.9024,             0.93997,             0.48776,            0.045879,           0.0054541,           0.0016886,           0.0096783,           0.0096783,           0.0096783
                 132,            0.050811,            0.007634,           0.0021121,             0.91429,             0.88674,             0.93796,             0.53059,            0.044723,           0.0053158,            0.001577,           0.0096758,           0.0096758,           0.0096758
                 133,            0.051357,           0.0080744,            0.001937,             0.81446,             0.90382,              0.9254,             0.48288,            0.045124,           0.0053406,           0.0015102,           0.0096733,           0.0096733,           0.0096733
                 134,            0.053367,           0.0068971,           0.0018841,             0.79708,             0.83492,             0.84316,             0.42738,            0.050481,           0.0054522,           0.0015232,           0.0096708,           0.0096708,           0.0096708
                 135,            0.055068,           0.0074232,           0.0020061,             0.88271,               0.912,             0.91534,             0.45966,            0.050056,            0.005559,           0.0015608,           0.0096684,           0.0096684,           0.0096684
                 136,            0.051942,           0.0075366,           0.0021114,             0.89263,             0.88438,             0.91423,              0.5741,            0.042409,           0.0054235,           0.0015774,           0.0096659,           0.0096659,           0.0096659
                 137,            0.048892,           0.0078656,           0.0020486,             0.84924,             0.91667,             0.92559,             0.51827,            0.044532,           0.0054922,           0.0015188,           0.0096634,           0.0096634,           0.0096634
                 138,            0.049291,            0.007684,           0.0017724,              0.8954,                 0.9,              0.9262,             0.52367,            0.045247,           0.0054531,           0.0015024,           0.0096609,           0.0096609,           0.0096609
                 139,            0.050362,           0.0073255,           0.0021855,             0.87838,             0.86376,             0.91362,             0.49584,             0.04725,           0.0055046,           0.0016804,           0.0096585,           0.0096585,           0.0096585
                 140,            0.049792,           0.0071644,           0.0022495,                0.79,             0.88601,             0.89331,             0.48464,            0.045873,           0.0054035,           0.0017067,            0.009656,            0.009656,            0.009656
                 141,            0.052591,           0.0088215,           0.0020813,             0.88358,                 0.9,             0.92943,             0.48985,            0.043996,           0.0055475,           0.0017469,           0.0096535,           0.0096535,           0.0096535
                 142,            0.050026,           0.0082753,           0.0020312,             0.93426,             0.96667,             0.97927,              0.5647,            0.041625,           0.0054178,           0.0016571,            0.009651,            0.009651,            0.009651
                 143,            0.050171,           0.0076106,           0.0017039,             0.89676,              0.9196,             0.95741,             0.56024,            0.041451,           0.0052366,           0.0015604,           0.0096486,           0.0096486,           0.0096486
                 144,            0.050069,           0.0078905,           0.0020588,             0.87369,             0.95117,             0.95603,             0.51869,            0.041049,           0.0052948,           0.0016726,           0.0096461,           0.0096461,           0.0096461
                 145,            0.050383,           0.0072998,           0.0020472,             0.86309,             0.91771,             0.93488,             0.50132,            0.045347,           0.0054531,           0.0017557,           0.0096436,           0.0096436,           0.0096436
                 146,            0.051881,           0.0073966,           0.0023429,             0.92683,             0.81502,             0.90937,             0.51277,            0.046159,           0.0054502,           0.0017546,           0.0096411,           0.0096411,           0.0096411
                 147,            0.049884,           0.0074153,           0.0018592,             0.83436,             0.90104,             0.91036,             0.51346,            0.043804,           0.0053158,           0.0015915,           0.0096387,           0.0096387,           0.0096387
                 148,            0.049171,           0.0080594,           0.0017019,             0.87525,                0.95,             0.94942,             0.48919,            0.045019,           0.0053568,           0.0014181,           0.0096362,           0.0096362,           0.0096362
                 149,            0.053857,           0.0072016,           0.0017285,             0.86849,             0.87083,             0.93816,             0.48123,             0.04566,           0.0053406,           0.0013338,           0.0096337,           0.0096337,           0.0096337
                 150,            0.051426,           0.0084751,           0.0017253,             0.90506,             0.96667,             0.95097,             0.50127,            0.043587,           0.0053148,           0.0013561,           0.0096312,           0.0096312,           0.0096312
                 151,            0.049012,            0.008103,           0.0017559,             0.94952,                0.95,             0.97598,             0.48749,            0.044683,           0.0053596,            0.001387,           0.0096288,           0.0096288,           0.0096288
